,Year,Player1,Country1,Player2,Country2,Score1,Score2
30326,2019.0,LUPKOVICS Dora,HUN,NOH Garam,KOR,1.0,5.0
30327,2019.0,LUPKOVICS Dora,HUN,MOBERG Therese,SWE,5.0,0.0
30328,2019.0,NOH Garam,KOR,MOBERG Therese,SWE,5.0,1.0
30329,2019.0,OH Hye Mi,KOR,KRAENKL Maria,AUT,5.0,3.0
30330,2019.0,OH Hye Mi,KOR,KOKAI Csilla,HUN,4.0,3.0
30331,2019.0,OH Hye Mi,KOR,WALCZYK Julia,POL,1.0,5.0
30332,2019.0,OH Hye Mi,KOR,CAMPBELL Yasmin,GBR,1.0,5.0
30333,2019.0,OH Hye Mi,KOR,MARTINES HAUREGI Oksana,RUS,5.0,3.0
30334,2019.0,OH Hye Mi,KOR,SINIGALIA Martina,ITA,5.0,2.0
30335,2019.0,KRAENKL Maria,AUT,KOKAI Csilla,HUN,3.0,5.0
30336,2019.0,KRAENKL Maria,AUT,WALCZYK Julia,POL,0.0,5.0
30337,2019.0,KRAENKL Maria,AUT,CAMPBELL Yasmin,GBR,3.0,5.0
30338,2019.0,KRAENKL Maria,AUT,MARTINES HAUREGI Oksana,RUS,0.0,5.0
30339,2019.0,KRAENKL Maria,AUT,SINIGALIA Martina,ITA,1.0,5.0
30340,2019.0,KOKAI Csilla,HUN,WALCZYK Julia,POL,2.0,5.0
30341,2019.0,KOKAI Csilla,HUN,CAMPBELL Yasmin,GBR,4.0,5.0
30342,2019.0,KOKAI Csilla,HUN,MARTINES HAUREGI Oksana,RUS,2.0,5.0
30343,2019.0,KOKAI Csilla,HUN,SINIGALIA Martina,ITA,3.0,4.0
30344,2019.0,WALCZYK Julia,POL,CAMPBELL Yasmin,GBR,5.0,2.0
30345,2019.0,WALCZYK Julia,POL,MARTINES HAUREGI Oksana,RUS,5.0,1.0
30346,2019.0,WALCZYK Julia,POL,SINIGALIA Martina,ITA,5.0,4.0
30347,2019.0,CAMPBELL Yasmin,GBR,MARTINES HAUREGI Oksana,RUS,5.0,4.0
30348,2019.0,CAMPBELL Yasmin,GBR,SINIGALIA Martina,ITA,1.0,5.0
30349,2019.0,MARTINES HAUREGI Oksana,RUS,SINIGALIA Martina,ITA,5.0,4.0
30350,2019.0,LYCZBINSKA Hanna,POL,KONDRICZ Kata,HUN,1.0,5.0
30351,2019.0,LYCZBINSKA Hanna,POL,VARDARO Elisa,ITA,1.0,5.0
30352,2019.0,LYCZBINSKA Hanna,POL,DVORKIN Mary,ISR,5.0,3.0
30353,2019.0,LYCZBINSKA Hanna,POL,CAI Yuanting,CHN,4.0,1.0
30354,2019.0,LYCZBINSKA Hanna,POL,KANO Arisa,JPN,4.0,5.0
30355,2019.0,LYCZBINSKA Hanna,POL,THEPAUT Venissia,FRA,4.0,5.0
30356,2019.0,KONDRICZ Kata,HUN,VARDARO Elisa,ITA,3.0,5.0
30357,2019.0,KONDRICZ Kata,HUN,DVORKIN Mary,ISR,5.0,3.0
30358,2019.0,KONDRICZ Kata,HUN,CAI Yuanting,CHN,5.0,2.0
30359,2019.0,KONDRICZ Kata,HUN,KANO Arisa,JPN,5.0,3.0
30360,2019.0,KONDRICZ Kata,HUN,THEPAUT Venissia,FRA,2.0,5.0
30361,2019.0,VARDARO Elisa,ITA,DVORKIN Mary,ISR,4.0,5.0
30362,2019.0,VARDARO Elisa,ITA,CAI Yuanting,CHN,5.0,0.0
30363,2019.0,VARDARO Elisa,ITA,KANO Arisa,JPN,5.0,2.0
30364,2019.0,VARDARO Elisa,ITA,THEPAUT Venissia,FRA,3.0,5.0
30365,2019.0,DVORKIN Mary,ISR,CAI Yuanting,CHN,0.0,5.0
30366,2019.0,DVORKIN Mary,ISR,KANO Arisa,JPN,0.0,5.0
30367,2019.0,DVORKIN Mary,ISR,THEPAUT Venissia,FRA,0.0,5.0
30368,2019.0,CAI Yuanting,CHN,KANO Arisa,JPN,4.0,5.0
30369,2019.0,CAI Yuanting,CHN,THEPAUT Venissia,FRA,3.0,5.0
30370,2019.0,KANO Arisa,JPN,THEPAUT Venissia,FRA,3.0,3.0
30371,2019.0,DIJOUX Mathilde,FRA,LYCZBINSKA Marta,POL,1.0,5.0
30372,2019.0,DIJOUX Mathilde,FRA,SMITH Katie,GBR,5.0,1.0
30373,2019.0,DIJOUX Mathilde,FRA,ABDRAKHMANOVA Adelya,RUS,5.0,4.0
30374,2019.0,DIJOUX Mathilde,FRA,WANG Yuting,CHN,2.0,4.0
30375,2019.0,DIJOUX Mathilde,FRA,BLOW Iman,USA,2.0,5.0
30376,2019.0,DIJOUX Mathilde,FRA,PUSTILNIK Nicole,ISR,2.0,4.0
